Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
45,Female,227645,Doctorate,Single,0,Rented,High
53,Male,105417,High School Diploma,Married,0,Rented,High
30,Female,115825,Master's Degree,Married,3,Owned,High
30,Male,122628,Bachelor's Degree,Married,0,Rented,High
30,Female,49871,Associate's Degree,Single,0,Owned,Low
40,Male,136499,Master's Degree,Married,2,Owned,High
45,Female,197041,Master's Degree,Single,0,Rented,High
30,Male,170457,Doctorate,Married,1,Owned,High
35,Male,101773,Bachelor's Degree,Married,0,Rented,High
25,Female,146240,Doctorate,Single,0,Owned,High
45,Female,120490,Associate's Degree,Single,0,Owned,High
45,Male,87922,High School Diploma,Married,1,Owned,Average
25,Male,131737,Doctorate,Married,1,Owned,High
35,Male,83440,High School Diploma,Married,1,Owned,Average
25,Female,173333,Doctorate,Single,0,Rented,High
35,Male,78295,Bachelor's Degree,Married,2,Owned,Average
30,Female,70494,Bachelor's Degree,Married,0,Owned,Average
35,Male,133351,Bachelor's Degree,Single,0,Rented,High
35,Male,126832,Doctorate,Married,2,Rented,High
53,Female,68538,Associate's Degree,Married,3,Owned,Average
53,Male,217974,Master's Degree,Married,3,Owned,High
45,Female,144246,Master's Degree,Married,0,Owned,High
25,Male,86827,Associate's Degree,Married,0,Rented,Average
40,Male,154566,Bachelor's Degree,Married,3,Owned,High
30,Female,88313,Bachelor's Degree,Single,0,Owned,Average
45,Female,155201,Master's Degree,Married,3,Owned,High
25,Female,130906,Master's Degree,Married,3,Rented,High
30,Male,99929,Master's Degree,Married,3,Owned,Average
30,Female,118974,Master's Degree,Married,2,Owned,High
25,Female,123136,Master's Degree,Married,0,Owned,High
50,Male,195171,Master's Degree,Married,0,Owned,High
40,Male,131831,Master's Degree,Married,2,Owned,High
53,Male,114264,Bachelor's Degree,Married,0,Rented,High
30,Male,124798,Bachelor's Degree,Married,1,Owned,High
40,Male,164959,Master's Degree,Married,2,Owned,High
40,Female,108572,Master's Degree,Single,0,Rented,High
30,Male,80121,Bachelor's Degree,Single,0,Owned,Average
45,Female,69868,Associate's Degree,Single,0,Rented,Average
40,Female,101568,Bachelor's Degree,Married,2,Rented,High
50,Male,169993,Bachelor's Degree,Married,3,Rented,High
35,Female,42941,High School Diploma,Married,2,Rented,Low
30,Female,61948,Associate's Degree,Married,3,Rented,Average
53,Male,157482,Master's Degree,Married,1,Owned,High
40,Male,200930,Doctorate,Married,0,Owned,High
35,Female,98648,Bachelor's Degree,Married,1,Owned,Average
30,Female,49406,High School Diploma,Married,1,Owned,Low
40,Female,105296,Bachelor's Degree,Single,0,Owned,High
45,Female,208502,Doctorate,Married,0,Rented,High
35,Male,84545,Bachelor's Degree,Single,0,Rented,Average
25,Male,101766,Master's Degree,Married,1,Owned,High
25,Male,139754,Master's Degree,Married,0,Owned,High
30,Female,126737,Doctorate,Single,0,Rented,High
45,Female,193484,Master's Degree,Married,3,Owned,High
30,Male,104232,Doctorate,Married,1,Owned,High
45,Female,198491,Master's Degree,Married,3,Rented,High
50,Female,143319,Doctorate,Married,0,Owned,High
40,Female,160091,Master's Degree,Married,0,Owned,High
30,Male,112793,Bachelor's Degree,Single,0,Owned,High
40,Male,165078,Master's Degree,Married,0,Rented,High
30,Male,61317,High School Diploma,Single,0,Owned,Average
45,Male,86360,Bachelor's Degree,Single,0,Owned,Average
45,Female,153493,Doctorate,Single,0,Rented,High
30,Male,131649,Master's Degree,Single,0,Rented,High
25,Male,101902,Doctorate,Married,0,Rented,High
25,Female,88437,Associate's Degree,Married,2,Rented,Average
40,Male,88204,Associate's Degree,Single,0,Rented,Average
50,Male,97384,High School Diploma,Single,0,Rented,Average
30,Male,81483,High School Diploma,Married,2,Rented,Average
40,Male,83612,High School Diploma,Single,0,Rented,Average
45,Male,74136,Associate's Degree,Married,1,Rented,Average
25,Male,108485,Master's Degree,Married,0,Owned,High
